timestamp_ms,angle_deg,distance_mm,quality,true_distance_mm,residual_mm
28424,358.42,904.0,15,900.0,4.0
28424,359.86,904.0,15,900.0,4.0
28425,1.05,904.2,15,900.0,4.2
28564,358.08,904.2,15,900.0,4.2
28564,359.34,903.7,15,900.0,3.7
28565,0.61,904.0,15,900.0,4.0
28566,2.00,905.2,15,900.0,5.2
28705,358.67,904.2,15,900.0,4.2
28705,359.95,904.5,15,900.0,4.5
28706,1.34,905.0,15,900.0,5.0
28846,358.94,904.0,15,900.0,4.0
28846,0.33,903.7,15,900.0,3.7
28847,1.66,904.2,15,900.0,4.2
28986,358.30,904.0,15,900.0,4.0
28986,359.58,903.7,15,900.0,3.7
28987,0.84,904.0,15,900.0,4.0
29127,359.22,902.5,15,900.0,2.5
29127,0.52,903.5,15,900.0,3.5
29128,1.84,904.5,15,900.0,4.5
29267,359.23,902.5,15,900.0,2.5
29267,0.55,903.5,15,900.0,3.5
29268,1.78,904.5,15,900.0,4.5
29407,359.12,902.5,15,900.0,2.5
29408,0.44,903.7,15,900.0,3.7
29408,1.81,904.5,15,900.0,4.5
29547,358.91,904.0,15,900.0,4.0
29548,0.19,904.5,15,900.0,4.5
29548,1.53,904.7,15,900.0,4.7
29688,358.83,903.7,15,900.0,3.7
29688,0.14,904.2,15,900.0,4.2
29689,1.42,904.5,15,900.0,4.5
29828,359.11,902.7,15,900.0,2.7
29828,0.42,903.7,15,900.0,3.7
29829,1.69,904.2,15,900.0,4.2
29968,359.14,902.5,15,900.0,2.5
29969,0.53,903.7,15,900.0,3.7
29969,1.86,904.5,15,900.0,4.5
30108,358.14,904.0,15,900.0,4.0
30108,359.37,904.0,15,900.0,4.0
30109,0.78,904.5,15,900.0,4.5
30249,358.72,904.2,15,900.0,4.2
30249,0.09,904.5,15,900.0,4.5
30250,1.31,904.2,15,900.0,4.2
30389,359.12,902.5,15,900.0,2.5
30390,0.45,903.7,15,900.0,3.7
30390,1.78,904.7,15,900.0,4.7
30530,359.31,903.7,15,900.0,3.7
30531,0.59,904.0,15,900.0,4.0
30531,1.86,905.5,15,900.0,5.5
30671,359.23,903.7,15,900.0,3.7
30671,0.52,903.5,15,900.0,3.5
30672,1.94,905.0,15,900.0,5.0
30811,358.50,904.5,15,900.0,4.5
30812,359.72,904.2,15,900.0,4.2
30812,1.08,904.2,15,900.0,4.2
30952,359.27,903.5,15,900.0,3.5
30952,0.58,903.5,15,900.0,3.5
30953,1.87,904.5,15,900.0,4.5
31092,359.19,902.5,15,900.0,2.5
31093,0.47,903.5,15,900.0,3.5
31093,1.83,904.7,15,900.0,4.7
31232,359.02,902.7,15,900.0,2.7
31233,0.34,903.7,15,900.0,3.7
31233,1.67,904.5,15,900.0,4.5
31373,358.67,904.2,15,900.0,4.2
31373,359.89,904.5,15,900.0,4.5
31374,1.25,905.0,15,900.0,5.0
31513,358.37,904.5,15,900.0,4.5
31513,359.72,904.0,15,900.0,4.0
31514,0.91,904.0,15,900.0,4.0
31653,358.23,904.2,15,900.0,4.2
31654,359.59,904.0,15,900.0,4.0
31654,0.83,904.0,15,900.0,4.0
31793,358.11,904.0,15,900.0,4.0
31794,359.42,904.0,15,900.0,4.0
31794,0.64,904.5,15,900.0,4.5
31934,358.17,903.7,15,900.0,3.7
31934,359.47,904.0,15,900.0,4.0
31935,0.75,904.2,15,900.0,4.2
32074,358.89,903.7,15,900.0,3.7
32075,0.17,904.2,15,900.0,4.2
32075,1.55,904.5,15,900.0,4.5
32215,358.12,903.7,15,900.0,3.7
32215,359.42,904.0,15,900.0,4.0
32216,0.81,904.2,15,900.0,4.2
32355,358.31,904.7,15,900.0,4.7
32356,359.66,904.2,15,900.0,4.2
32357,0.91,904.0,15,900.0,4.0
32496,358.33,904.7,15,900.0,4.7
32497,359.70,904.5,15,900.0,4.5
32497,1.09,904.5,15,900.0,4.5
32637,358.94,903.7,15,900.0,3.7
32638,0.22,904.2,15,900.0,4.2
32638,1.53,904.5,15,900.0,4.5
32777,358.70,904.2,15,900.0,4.2
32778,359.95,904.5,15,900.0,4.5
32778,1.31,905.0,15,900.0,5.0
32918,358.09,904.0,15,900.0,4.0
32918,359.44,904.0,15,900.0,4.0
32919,0.77,904.7,15,900.0,4.7
32919,2.00,905.5,15,900.0,5.5
33058,359.12,902.7,15,900.0,2.7
33059,0.47,903.7,15,900.0,3.7
33059,1.78,904.5,15,900.0,4.5
33199,358.17,904.0,15,900.0,4.0
33199,359.56,903.7,15,900.0,3.7
33200,0.89,903.7,15,900.0,3.7
33339,358.83,903.7,15,900.0,3.7
33340,0.14,904.2,15,900.0,4.2
33340,1.52,904.5,15,900.0,4.5
33480,358.56,903.7,15,900.0,3.7
33480,359.91,904.0,15,900.0,4.0
33481,1.27,905.2,15,900.0,5.2
33620,358.34,904.7,15,900.0,4.7
33620,359.62,904.2,15,900.0,4.2
33621,1.00,904.2,15,900.0,4.2
33760,358.44,904.7,15,900.0,4.7
33761,359.73,904.2,15,900.0,4.2
33761,0.98,904.2,15,900.0,4.2
33901,358.95,903.7,15,900.0,3.7
33901,0.20,904.0,15,900.0,4.0
33902,1.58,904.2,15,900.0,4.2
34042,359.36,904.0,15,900.0,4.0
34042,0.72,904.5,15,900.0,4.5
34043,1.92,905.2,15,900.0,5.2
34182,358.55,903.7,15,900.0,3.7
34182,359.77,904.0,15,900.0,4.0
34183,1.17,904.2,15,900.0,4.2
34323,359.06,903.0,15,900.0,3.0
34323,0.44,903.7,15,900.0,3.7
34324,1.72,904.2,15,900.0,4.2
34463,358.73,904.2,15,900.0,4.2
34464,0.13,904.5,15,900.0,4.5
34464,1.41,904.2,15,900.0,4.2
34603,358.47,904.5,15,900.0,4.5
34604,359.80,904.2,15,900.0,4.2
34604,1.05,904.2,15,900.0,4.2
34743,358.44,904.2,15,900.0,4.2
34744,359.80,904.2,15,900.0,4.2
34744,1.12,904.2,15,900.0,4.2
34884,358.78,904.2,15,900.0,4.2
34884,0.03,904.5,15,900.0,4.5
34885,1.31,904.2,15,900.0,4.2
35024,358.30,904.0,15,900.0,4.0
35024,359.59,904.0,15,900.0,4.0
35025,0.88,904.0,15,900.0,4.0
35165,359.14,902.7,15,900.0,2.7
35165,0.56,903.5,15,900.0,3.5
35166,1.83,904.5,15,900.0,4.5
35305,359.17,903.2,15,900.0,3.2
35305,0.53,903.5,15,900.0,3.5
35306,1.86,904.5,15,900.0,4.5
35445,359.16,902.7,15,900.0,2.7
35446,0.34,903.7,15,900.0,3.7
35446,1.75,904.5,15,900.0,4.5
35585,359.23,903.5,15,900.0,3.5
35586,0.50,903.2,15,900.0,3.2
35587,1.92,904.5,15,900.0,4.5
35726,358.98,904.0,15,900.0,4.0
35726,0.23,904.0,15,900.0,4.0
35727,1.61,904.2,15,900.0,4.2
35866,358.52,903.7,15,900.0,3.7
35867,359.87,904.0,15,900.0,4.0
35867,1.20,905.0,15,900.0,5.0
36006,358.22,904.0,15,900.0,4.0
36007,359.64,903.7,15,900.0,3.7
36007,0.94,903.7,15,900.0,3.7
36147,359.30,903.2,15,900.0,3.2
36148,0.62,903.0,15,900.0,3.0
36148,1.95,904.5,15,900.0,4.5
36287,358.92,903.7,15,900.0,3.7
36288,0.36,903.7,15,900.0,3.7
36288,1.56,904.0,15,900.0,4.0
36428,358.72,904.2,15,900.0,4.2
36428,0.03,904.7,15,900.0,4.7
36429,1.44,904.7,15,900.0,4.7
36568,358.80,904.0,15,900.0,4.0
36568,0.13,904.7,15,900.0,4.7
36569,1.42,904.7,15,900.0,4.7
36708,358.86,903.7,15,900.0,3.7
36709,0.13,904.2,15,900.0,4.2
36709,1.47,904.5,15,900.0,4.5
36848,358.53,903.7,15,900.0,3.7
36849,359.87,904.0,15,900.0,4.0
36849,1.12,904.7,15,900.0,4.7
36989,359.30,903.7,15,900.0,3.7
36990,0.69,904.2,15,900.0,4.2
37129,359.00,903.2,15,900.0,3.2
37130,0.34,903.7,15,900.0,3.7
37130,1.72,904.2,15,900.0,4.2
37270,358.73,904.2,15,900.0,4.2
37270,0.06,904.2,15,900.0,4.2
37271,1.39,904.7,15,900.0,4.7
37410,358.75,903.5,15,900.0,3.5
37410,0.11,904.2,15,900.0,4.2
37411,1.39,904.5,15,900.0,4.5
37550,358.44,904.5,15,900.0,4.5
37551,359.77,904.2,15,900.0,4.2
37551,1.05,904.0,15,900.0,4.0
37691,359.33,903.5,15,900.0,3.5
